73	h5nc	41	
Comment	CustomConst	Name	Value
-	0	CC_jump	0
#		BulletType(50~149)	
-	50	CC_Bullet_ShuttleBeam	0
-	51	CC_Bullet_Scale	1
-	52	CC_Bullet_Ring	2
-	53	CC_Bullet_MiddleBall	3
-	54	CC_Bullet_Shuttle	4
-	55	CC_Bullet_Kunai	5
-	56	CC_Bullet_Arris	6
-	57	CC_Bullet_Amulet	7
-	58	CC_Bullet_GunBullet	8
-	59	CC_Bullet_BlackShuttle	9
-	60	CC_Bullet_Star	10
-	61	CC_Bullet_RollingBall	11
-	62	CC_Bullet_SmallStar	12
-	63	CC_Bullet_SmallBall	13
-	64	CC_Bullet_Coin	14
-	65	CC_Bullet_HugeBall	15
-	66	CC_Bullet_BigStar	16
-	67	CC_Bullet_BigBall	17
-	68	CC_Bullet_BendedKnife	18
-	69	CC_Bullet_Butterfly	19
-	70	CC_Bullet_Knife	20
-	71	CC_Bullet_QuarterNote	21
-	72	CC_Bullet_Stupa	22
-	73	CC_Bullet_EighthNote	23
-	74	CC_Bullet_BigShuttle	24
-	75	CC_Bullet_RedFireBall	25
-	76	CC_Bullet_FadedRedFireBall	26
-	77	CC_Bullet_BlueFireBall	27
-	78	CC_Bullet_FadedBlueFireBall	28
-	79	CC_BulletEx_Reimu	32
-	80	CC_BulletEx_Sakuya	33
-	81	CC_BulletEx_SakuyaFake	34
-	82	CC_BulletEx_Youmu	35
-	83	CC_Bullet_ShootItem	60
-	84	CC_Bullet_FadeItem	61
-	85	CC_Bullet_Score	62
#		PlayerID(150~199)	
-	150	CC_PlayerID_Reimu	0
-	151	CC_PlayerID_Marisa	1
-	152	CC_PlayerID_Sakuya	2
-	153	CC_PlayerID_Youmu	3
-	154	CC_PlayerID_Aya	4
-	155	CC_PlayerID_Yuyuko	5
-	156	CC_PlayerID_Medicine	6
-	157	CC_PlayerID_Cirno	7
-	158	CC_PlayerID_Lyrica	8
-	159	CC_PlayerID_Mystia	9
