73	h5nc	49																											
Comment	Index	FaceIndex	SIID	Collision_W	Collision_H	StandFrame	StandShake	RightPreFrame	RightFrame	LeftPreFrame	LeftFrame	AttackPreFrame	AttackFrame	StorePreFrame	StoreFrame	NMaxSet	Nmax	EffID	ShotEffID	CollapseEffID	EXPoint	GhostPoint	BulletPoint	SpellPoint	BlastMaxtime	BlastR	BlastPower	Name	Ename
#		Boss(0~31)																											
-	0	0	SI_Boss_Reimu_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	≤©˚ê°§ÎëâÙ	Hakurei Reimu
-	1	1	SI_Boss_Marisa_0	16	24	4	1	3	1	0	0	0	1	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	ÏF”Í°§ƒß¿Ì…≥	Kirisame Marisa
-	2	2	SI_Boss_Sakuya_0	16	24	4	1	3	1	0	0	0	0	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	 Æ¡˘“π°§ÜD“π	Izayoi Sakuya
-	3	3	SI_Boss_Youmu_0	16	24	4	1	3	1	3	1	4	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	ªÍ∆«°§—˝âÙ	Konpaku Youmu
-	4	4	SI_Boss_Aya_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	…‰√¸ÕË°§Œƒ	Syameimaru Aya
-	5	5	SI_Boss_Yuyuko_0	16	24	2	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	Œ˜––À¬°§”ƒ°©◊”	Saigyouzi Yuyuko
-	6	6	SI_Boss_Medicine_0	16	24	4	1	3	1	0	0	0	0	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•·•«•£•π•Û°§•·•È•Û•≥•Í©`	Medicine Melancholy
-	7	7	SI_Boss_Cirno_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•¡•Î•Œ	Cirno
-	8	8	SI_Boss_Lyrica_0	16	24	1	1	1	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•Í•Í•´°§•◊•Í•∫•‡•Í•–©`	Lyrica Prismriver
-	9	9	SI_Boss_Mystia_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•ﬂ•π•∆•£•¢°§•Ì©`•Ï•È•§	Mystia Lorelei
-	10	10	SI_Boss_Marlin_0	16	24	2	1	2	1	0	0	0	2	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•·•Î•È•Û°§•◊•Í•∫•‡•Í•–©`	Marlin Prismriver
-	11	11	SI_Boss_Lunasa_0	16	24	1	1	1	1	0	0	0	2	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•Î• •µ°§•◊•Í•∫•‡•Í•–©`	Lunasa Prismriver
-	12	12	SI_Boss_Tei_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	“Ú·¶°§§∆§	Inaba Tei
-	13	13	SI_Boss_Yuka_0	16	24	4	1	3	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	ÔL“ä°§”ƒœ„	Kazami Yuka
