73	h5nc	4C															
Comment	Index	UserID	ChargeBullet	SIID	TimeMod	Flag	Power	DeleteTime	Arrange	Angle	AddAngle	Speed	AccelSpeed	Scale	Xbias	Ybias	SE
-	0	0	0	SI_PlayerBullet_00_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	1	0	0	SI_PlayerBullet_00_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	2	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	1	-800	0	8	0	1	0	0	0
-	3	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	2	800	0	8	0	1	0	0	0
-	4	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	3	-1600	0	8	0	1	0	0	0
-	5	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	4	1600	0	8	0	1	0	0	0
-	6	1	0	SI_PlayerBullet_01_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	7	1	0	SI_PlayerBullet_01_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	8	1	1	SI_PlayerBullet_01_1_0	1	41	1	0	1	0	0	1	0	8	0	16	60
-	14	2	0	SI_PlayerBullet_02_0_0	4	700	8	0	0	0	0	18	0	1	10	15	60
-	15	2	0	SI_PlayerBullet_02_0_0	4	700	8	0	0	0	0	18	0	1	-10	15	60
-	16	2	1	SI_PlayerBullet_02_1_0	6	726	8	0	1	0	0	18	0	2.5	0	16	60
-	17	3	0	SI_PlayerBullet_03_0_0	4	600	8	0	0	0	0	18	0	1	10	15	60
-	18	3	0	SI_PlayerBullet_03_0_0	4	600	8	0	0	0	0	18	0	1	-10	15	60
-	19	4	0	SI_PlayerBullet_04_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	20	4	0	SI_PlayerBullet_04_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	21	4	1	SI_PlayerBullet_04_1_0	4	400	7	0	1	-100	0	18	0	1	0	16	60
-	22	4	1	SI_PlayerBullet_04_1_0	4	400	7	0	2	100	0	18	0	1	0	16	60
-	23	5	0	SI_PlayerBullet_05_0_0	4	1500	8	0	0	0	0	18	0	1	10	15	60
-	24	5	0	SI_PlayerBullet_05_0_0	4	1500	8	0	0	0	0	18	0	1	-10	15	60
-	25	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	0	150	3	0.1	1	0	0	60
-	26	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	0	-150	3	0.1	1	0	0	60
-	27	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	4500	150	3	0.1	1	0	0	60
-	28	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	4500	-150	3	0.1	1	0	0	60
-	29	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	9000	150	3	0.1	1	0	0	60
-	30	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	9000	-150	3	0.1	1	0	0	60
-	31	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	13500	150	3	0.1	1	0	0	60
-	32	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	13500	-150	3	0.1	1	0	0	60
-	33	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	18000	150	3	0.1	1	0	0	60
-	34	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	18000	-150	3	0.1	1	0	0	60
-	35	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	22500	150	3	0.1	1	0	0	60
-	36	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	22500	-150	3	0.1	1	0	0	60
-	37	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	27000	150	3	0.1	1	0	0	60
-	38	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	27000	-150	3	0.1	1	0	0	60
-	39	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	31500	150	3	0.1	1	0	0	60
-	40	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	31500	-150	3	0.1	1	0	0	60
-	41	6	0	SI_PlayerBullet_06_0_0	4	200	8	0	0	0	0	18	0	1	10	15	60
-	42	6	0	SI_PlayerBullet_06_0_0	4	200	8	0	0	0	0	18	0	1	-10	15	60
-	43	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	-1800	300	18	-0.1	1	0	0	60
-	44	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	1800	-300	18	-0.1	1	0	0	60
-	45	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	5400	300	6	-0.1	1	0	0	60
-	46	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	9000	-300	6	-0.1	1	0	0	60
-	47	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	12600	300	6	-0.1	1	0	0	60
-	48	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	16200	-300	6	-0.1	1	0	0	60
-	49	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	19800	300	6	-0.1	1	0	0	60
-	50	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	23400	-300	6	-0.1	1	0	0	60
-	51	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	27000	300	6	-0.1	1	0	0	60
-	52	6	1	SI_PlayerBullet_06_0_0	4	200	20	60	0	30600	-300	6	-0.1	1	0	0	60
-	53	7	0	SI_PlayerBullet_07_0_0	4	200	8	0	0	0	0	18	0	1	10	15	60
-	54	7	0	SI_PlayerBullet_07_0_0	4	200	8	0	0	0	0	18	0	1	-10	15	60
-	55	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	0	0	8	0	1	0	0	60
-	56	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	1500	0	8	0	1	0	0	60
-	57	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	3000	0	8	0	1	0	0	60
-	58	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	4500	0	8	0	1	0	0	60
-	59	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	6000	0	8	0	1	0	0	60
-	60	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	7500	0	8	0	1	0	0	60
-	61	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	9000	0	8	0	1	0	0	60
-	62	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	10500	0	8	0	1	0	0	60
-	63	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	12000	0	8	0	1	0	0	60
