73	h5nc	53		
Comment	Index	Texture	TexW	TexH
-	0	Graphic/Other/white.png	1	1
-	2	Graphic/Sprite/Bullet/bullet.png	512	512
-	3	Graphic/Sprite/Ghost/ghost.png	128	128
-	4	Graphic/Sprite/Enemy/enemy.png	512	512
-	6	Graphic/Other/front.png	512	512
-	7	Graphic/Other/selectitem.png	512	512
-	8	Graphic/Scene/scenename.png	256	256
#		Player(10~59)		
-	10	Graphic/Sprite/Player/Player/pl_01.png	256	256
-	11	Graphic/Sprite/Player/Player/pl_02.png	256	256
-	12	Graphic/Sprite/Player/Player/pl_03.png	256	256
-	13	Graphic/Sprite/Player/Player/pl_04.png	256	256
-	14	Graphic/Sprite/Player/Player/pl_05.png	256	256
-	15	Graphic/Sprite/Player/Player/pl_06.png	256	256
-	16	Graphic/Sprite/Player/Player/pl_07.png	256	256
-	17	Graphic/Sprite/Player/Player/pl_08.png	256	256
-	18	Graphic/Sprite/Player/Player/pl_09.png	256	256
-	19	Graphic/Sprite/Player/Player/pl_10.png	256	256
-	20	Graphic/Sprite/Player/Player/pl_11.png	256	256
-	21	Graphic/Sprite/Player/Player/pl_12.png	256	256
-	22	Graphic/Sprite/Player/Player/pl_13.png	256	256
-	23	Graphic/Sprite/Player/Player/pl_14.png	256	256
-	24	Graphic/Sprite/Player/Player/pl_15.png	256	256
-	25	Graphic/Sprite/Player/Player/pl_16.png	256	256
-	26	Graphic/Sprite/Player/Player/pl_17.png	256	256
-	27	Graphic/Sprite/Player/Player/pl_18.png	256	256
-	28	Graphic/Sprite/Player/Player/pl_19.png	256	256
-	29	Graphic/Sprite/Player/Player/pl_20.png	256	256
-	30	Graphic/Sprite/Player/Player/pl_21.png	256	256
-	31	Graphic/Sprite/Player/Player/pl_22.png	256	256
-	32	Graphic/Sprite/Player/Player/pl_23.png	256	256
-	33	Graphic/Sprite/Player/Player/pl_24.png	256	256
#		PlayerEx(50~109)		
-	50	Graphic/Sprite/Player/Player/pl_01_ex.png	256	256
-	51	Graphic/Sprite/Player/Player/pl_02_ex.png	256	256
-	53	Graphic/Sprite/Player/Player/pl_04_ex.png	256	256
-	54	Graphic/Sprite/Player/Player/pl_05_ex.png	256	256
-	56	Graphic/Sprite/Player/Player/pl_07_ex.png	256	256
-	63	Graphic/Sprite/Player/Player/pl_14_ex.png	256	256
