73	h5nc	4B	5000				
Comment	Index	SI_Name	Tex	Tex_x	Tex_y	Tex_w	Tex_h
#		MainUI(0~29)					
-	0	SI_Null	0	0	0	0	0
-	1	SI_White	0	0	0	1	1
-	2	SI_Empty	0	0	0	0	0
-	3	SI_Title_Start	6	0	432	128	32
-	4	SI_Title_Replay	6	128	432	72	32
-	5	SI_Title_Quit	6	200	432	52	32
-	6	SI_MatchSelect_N2N	7	0	144	256	48
-	7	SI_MatchSelect_P2P	7	0	0	256	48
-	8	SI_MatchSelect_P2C	7	0	48	256	48
-	9	SI_MatchSelect_C2P	7	0	96	256	48
-	10	SI_TopContent_MatchMode	7	256	0	256	48
-	11	SI_TopContent_Level	7	256	48	256	48
-	12	SI_TopContent_Girl	7	256	96	256	48
-	13	SI_TopContent_Scene	7	256	144	256	48
-	14	SI_MatchMode_Waiting	7	0	416	256	40
-	15	SI_MatchMode_Accessing	7	0	456	256	20
-	16	SI_MatchMode_Latency	7	256	224	256	20
-	17	SI_InitialLife_Content	7	0	480	192	16
-	18	SI_InitialLife_Full	7	0	496	16	16
-	19	SI_InitialLife_Half	7	16	496	16	16
-	20	SI_InitialLife_Empty	7	32	496	16	16
-	21	SI_Select_Frame	7	48	496	160	16
#		Confirm(30~39)					
-	30	SI_Confirm_Yes	7	120	256	64	32
-	31	SI_Confirm_No	7	184	256	72	32
-	32	SI_Confirm	7	160	288	96	32
-	33	SI_Confirm_Cancel	7	120	256	64	32
#		UIPause(40~49)					
-	40	SI_Pause_Start	7	0	288	160	32
-	41	SI_Pause_ResetGame	7	0	384	88	32
-	42	SI_Pause_PlayerSelect	7	88	384	160	32
-	43	SI_Pause_ReturnTitle	7	0	320	224	32
-	44	SI_Pause_SaveReplay	7	0	352	256	32
-	45	SI_Pause_Pause	7	0	256	120	32
#		UIResult(50~59)					
-	50	SI_Result_Save	7	256	192	256	32
-	51	SI_Result_OverWrite	7	0	224	256	32
#		IphoneUI(60~79)					
-	60	SI_IPhone_Left	6	256	320	16	16
-	61	SI_IPhone_Right	6	272	320	16	16
-	62	SI_IPhone_Up	6	288	320	16	16
-	63	SI_IPhone_Down	6	304	320	16	16
-	64	SI_IPhone_OK	6	256	352	32	32
-	65	SI_IPhone_Cancel	6	288	352	32	32
-	66	SI_IPhone_Pause	6	320	352	32	32
-	67	SI_IPhone_Shoot	6	256	384	48	32
-	68	SI_IPhone_Charge	6	304	384	48	32
-	69	SI_IPhone_Drain	6	256	416	48	32
-	70	SI_IPhone_Quick	6	304	416	48	32
#		ASCII(80~179)					
-	80	SI_ASCIIBig_Null	6	1	320	12	14
-	81	SI_ASCIIBig_!	6	15	320	12	14
-	82	"SI_ASCIIBig_"""	6	29	320	12	14
-	83	SI_ASCIIBig_#	6	43	320	12	14
-	84	SI_ASCIIBig_$	6	57	320	12	14
-	85	SI_ASCIIBig_%	6	71	320	12	14
-	86	SI_ASCIIBig_&	6	85	320	12	14
-	87	SI_ASCIIBig_'	6	99	320	12	14
-	88	SI_ASCIIBig_(	6	113	320	12	14
-	89	SI_ASCIIBig_)	6	127	320	12	14
-	90	SI_ASCIIBig_*	6	141	320	12	14
-	91	SI_ASCIIBig_+	6	155	320	12	14
-	92	"SI_ASCIIBig_,"	6	169	320	12	14
-	93	SI_ASCIIBig_-	6	183	320	12	14
-	94	SI_ASCIIBig_.	6	197	320	12	14
-	95	SI_ASCIIBig_/	6	211	320	12	14
-	96	SI_ASCIIBig_0	6	225	320	12	14
-	97	SI_ASCIIBig_1	6	239	320	12	14
-	98	SI_ASCIIBig_2	6	1	334	12	14
-	99	SI_ASCIIBig_3	6	15	334	12	14
-	100	SI_ASCIIBig_4	6	29	334	12	14
-	101	SI_ASCIIBig_5	6	43	334	12	14
-	102	SI_ASCIIBig_6	6	57	334	12	14
-	103	SI_ASCIIBig_7	6	71	334	12	14
-	104	SI_ASCIIBig_8	6	85	334	12	14
-	105	SI_ASCIIBig_9	6	99	334	12	14
-	106	SI_ASCIIBig_:	6	113	334	12	14
-	107	SI_ASCIIBig_;	6	127	334	12	14
-	108	SI_ASCIIBig_<	6	141	334	12	14
-	109	SI_ASCIIBig_=	6	155	334	12	14
-	110	SI_ASCIIBig_>	6	169	334	12	14
-	111	SI_ASCIIBig_?	6	183	334	12	14
-	112	SI_ASCIIBig_@	6	197	334	12	14
-	113	SI_ASCIIBig_A	6	211	334	12	14
-	114	SI_ASCIIBig_B	6	225	334	12	14
-	115	SI_ASCIIBig_C	6	239	334	12	14
-	116	SI_ASCIIBig_D	6	1	348	12	14
-	117	SI_ASCIIBig_E	6	15	348	12	14
-	118	SI_ASCIIBig_F	6	29	348	12	14
-	119	SI_ASCIIBig_G	6	43	348	12	14
-	120	SI_ASCIIBig_H	6	57	348	12	14
-	121	SI_ASCIIBig_I	6	71	348	12	14
-	122	SI_ASCIIBig_J	6	85	348	12	14
-	123	SI_ASCIIBig_K	6	99	348	12	14
-	124	SI_ASCIIBig_L	6	113	348	12	14
-	125	SI_ASCIIBig_M	6	127	348	12	14
-	126	SI_ASCIIBig_N	6	141	348	12	14
-	127	SI_ASCIIBig_O	6	155	348	12	14
-	128	SI_ASCIIBig_P	6	169	348	12	14
-	129	SI_ASCIIBig_Q	6	183	348	12	14
-	130	SI_ASCIIBig_R	6	197	348	12	14
-	131	SI_ASCIIBig_S	6	211	348	12	14
-	132	SI_ASCIIBig_T	6	225	348	12	14
-	133	SI_ASCIIBig_U	6	239	348	12	14
-	134	SI_ASCIIBig_V	6	1	362	12	14
-	135	SI_ASCIIBig_W	6	15	362	12	14
-	136	SI_ASCIIBig_X	6	29	362	12	14
-	137	SI_ASCIIBig_Y	6	43	362	12	14
-	138	SI_ASCIIBig_Z	6	57	362	12	14
-	139	SI_ASCIIBig_[	6	71	362	12	14
-	140	SI_ASCIIBig_\	6	85	362	12	14
-	141	SI_ASCIIBig_]	6	99	362	12	14
-	142	SI_ASCIIBig_^	6	113	362	12	14
-	143	SI_ASCIIBig__	6	127	362	12	14
-	144	SI_ASCIIBig_Space	6	141	362	12	14
-	145	SI_ASCIIBig_a	6	155	362	12	14
-	146	SI_ASCIIBig_b	6	169	362	12	14
-	147	SI_ASCIIBig_c	6	183	362	12	14
-	148	SI_ASCIIBig_d	6	197	362	12	14
-	149	SI_ASCIIBig_e	6	211	362	12	14
-	150	SI_ASCIIBig_f	6	225	362	12	14
-	151	SI_ASCIIBig_g	6	239	362	12	14
-	152	SI_ASCIIBig_h	6	1	376	12	14
-	153	SI_ASCIIBig_i	6	15	376	12	14
-	154	SI_ASCIIBig_j	6	29	376	12	14
-	155	SI_ASCIIBig_k	6	43	376	12	14
