73	h5nc	53		
Comment	Index	Texture	TexW	TexH
-	0	Graphic/Other/white.png	1	1
-	2	Graphic/Sprite/Bullet/bullet.png	512	512
-	3	Graphic/Sprite/Ghost/ghost.png	128	128
-	4	Graphic/Sprite/Enemy/enemy.png	512	512
-	6	Graphic/Other/front.png	512	512
-	7	Graphic/Other/selectitem.png	512	512
-	8	Graphic/Scene/scenename.png	256	256
#		Player(10~49)		
-	10	Graphic/Sprite/Player/Player/player.png	256	256
#		PlayerEx(50~109)		
-	50	Graphic/Sprite/Player/Player/pl_01_ex.png	256	256
-	51	Graphic/Sprite/Player/Player/pl_02_ex.png	256	256
-	53	Graphic/Sprite/Player/Player/pl_04_ex.png	256	256
-	54	Graphic/Sprite/Player/Player/pl_05_ex.png	256	256
-	56	Graphic/Sprite/Player/Player/pl_07_ex.png	256	256
-	63	Graphic/Sprite/Player/Player/pl_14_ex.png	256	256
-	64	Graphic/Sprite/Player/Player/pl_15_ex.png	256	256
-	66	Graphic/Sprite/Player/Player/pl_17_ex.png	256	256
-	69	Graphic/Sprite/Player/Player/pl_01_ex.png	256	256
-	71	Graphic/Sprite/Player/Player/pl_22_ex.png	256	256
-	73	Graphic/Sprite/Player/Player/pl_24_ex.png	256	256
-	82	Graphic/Sprite/Player/Player/pl_15_ex_2.png	128	128
#		Face(110~159)		
-	110	Graphic/Sprite/Face/face_01.png	128	256
-	111	Graphic/Sprite/Face/face_02.png	128	256
-	112	Graphic/Sprite/Face/face_03.png	128	256
-	113	Graphic/Sprite/Face/face_04.png	128	256
-	114	Graphic/Sprite/Face/face_05.png	128	256
-	115	Graphic/Sprite/Face/face_06.png	128	256
-	116	Graphic/Sprite/Face/face_07.png	128	256
-	117	Graphic/Sprite/Face/face_08.png	128	256
-	118	Graphic/Sprite/Face/face_09.png	128	256
-	119	Graphic/Sprite/Face/face_10.png	128	256
-	120	Graphic/Sprite/Face/face_11.png	128	256
-	121	Graphic/Sprite/Face/face_12.png	128	256
-	122	Graphic/Sprite/Face/face_13.png	256	256
-	123	Graphic/Sprite/Face/face_14.png	128	256
-	124	Graphic/Sprite/Face/face_15.png	128	256
-	125	Graphic/Sprite/Face/face_16.png	128	256
-	126	Graphic/Sprite/Face/face_17.png	128	256
-	127	Graphic/Sprite/Face/face_18.png	128	256
